Entity,Code,Year,SF₆ gases (tonnes),PFC gases (tonnes),HFC gases (tonnes),Nitrous oxide (N₂O) (tonnes),Methane (CH₄) (tonnes),Carbon Dioxide (CO₂) (tonnes)
Kiribati,KIR,2009,,,,3821.215,15594.8,40337
Kiribati,KIR,2010,,,,3887.4,15987.4,62339
Kiribati,KIR,2011,,,,3926.274,16147.274,62339
Kiribati,KIR,2012,,,,3965.148,16307.148000000001,62339
Kiribati,KIR,2013,,,,,,62339
Kiribati,KIR,2014,,,,,,62339
Kosovo,OWID_KOS,2010,0,0,0,0,0,
Kuwait,KWT,1960,,,,,,7803376
Kuwait,KWT,1961,,,,,,9981574
Kuwait,KWT,1962,,,,,,14290299
Kuwait,KWT,1963,,,,,,17025881
Kuwait,KWT,1964,,,,,,25335303
Kuwait,KWT,1965,,,,,,35419553
Kuwait,KWT,1966,,,,,,35151862
Kuwait,KWT,1967,,,,,,25441646
Kuwait,KWT,1968,,,,,,22442040
Kuwait,KWT,1969,,,,,,26831439
Kuwait,KWT,1970,,,,526228.1000000001,21910400,25041943
Kuwait,KWT,1971,,,,700088.5,23068700,27139467
Kuwait,KWT,1972,,,,863901.7999999999,23216000,27634512
Kuwait,KWT,1973,,,,875762.3999999999,19964000,24242537
Kuwait,KWT,1974,,,,802748.1,15524900,19328757
Kuwait,KWT,1975,,,,743612.5,12416500,16827863
Kuwait,KWT,1976,,,,645395.2000000001,12085800,18474346
Kuwait,KWT,1977,,,,741287.5,10779800,17220232
Kuwait,KWT,1978,,,,802267.6,12348100,21000909
Kuwait,KWT,1979,,,,858523.2999999999,13240400,17667606
Kuwait,KWT,1980,,,,724138.2999999999,9201890,24675243
Kuwait,KWT,1981,,,,665799.4,6468340,25214292
Kuwait,KWT,1982,,,,776624.4,5016900,21169591
Kuwait,KWT,1983,,,,792778.5,5999080,21609631
Kuwait,KWT,1984,,,,867562.9,6469480,28367912
Kuwait,KWT,1985,,,,850853.8999999999,6441650,29159984
Kuwait,KWT,1986,,,,935350.6,6511430,35320544
Kuwait,KWT,1987,,,,1021248.5,6571630,31470194
Kuwait,KWT,1988,,,,1046897.8999999999,7275600,32914992
Kuwait,KWT,1989,,,,1044473.7,8523210,35885262
Kuwait,KWT,1990,263000,0,100,592397.6,5420150,51000636
Kuwait,KWT,1991,,,,493783.5,2345120,10190593
Kuwait,KWT,1992,,,,754611.3,5784390,21085250
Kuwait,KWT,1993,,,,823586.3,8508260,33274358
Kuwait,KWT,1994,,,,972342.9,10347900,38906870
Kuwait,KWT,1995,,,,952233.2,10204700,54821650
Kuwait,KWT,1996,,,,955999.7,10365800,50153559
Kuwait,KWT,1997,,,,985307.1,10713500,54920659
Kuwait,KWT,1998,,,,975473.8999999999,10337500,51745037
Kuwait,KWT,1999,,,,936122.5,9617030,54022244
Kuwait,KWT,2000,350900,0,147300,1031571.5,10368800,53560202
Kuwait,KWT,2001,,,,492872.1,9983850,57641573
Kuwait,KWT,2002,,,,507907.10000000003,9686360,58228293
Kuwait,KWT,2003,,,,570626.3,11323400,59922447
Kuwait,KWT,2004,,,,617253.4,11866600,63534442
Kuwait,KWT,2005,386000,0,539600,673357.2000000001,12945700,71546837
Kuwait,KWT,2006,,,,635168.3,13198600,73769039
Kuwait,KWT,2007,,,,625056.1,12692000,75235839
Kuwait,KWT,2008,456400,0,779000,632142.7,12817200,82731187
Kuwait,KWT,2009,,,,665287.9,12230500,87303936
Kuwait,KWT,2010,503000,0,948000,690484.7,12441800,89625147
Kuwait,KWT,2011,,,,697389.547,12566218,91029608
Kuwait,KWT,2012,,,,704294.394,12690636,102334969
Kuwait,KWT,2013,,,,,,98345273
Kuwait,KWT,2014,,,,,,95408006
Kyrgyzstan,KGZ,1970,,,,1983717.9000000001,4561130,
Kyrgyzstan,KGZ,1971,,,,2014308.7,4717820,
Kyrgyzstan,KGZ,1972,,,,2419463.2,5041410,
Kyrgyzstan,KGZ,1973,,,,2188727.1,4921700,
Kyrgyzstan,KGZ,1974,,,,2162529,4992310,
Kyrgyzstan,KGZ,1975,,,,2248141.7,5104880,
Kyrgyzstan,KGZ,1976,,,,2337530.2,5148380,
Kyrgyzstan,KGZ,1977,,,,2301232.3000000003,5117430,
Kyrgyzstan,KGZ,1978,,,,2294443.3,5151030,
