Entity,Code,Year,SF₆ gases (tonnes),PFC gases (tonnes),HFC gases (tonnes),Nitrous oxide (N₂O) (tonnes),Methane (CH₄) (tonnes),Carbon Dioxide (CO₂) (tonnes)
Kenya,KEN,1991,,,,8988822,20067600,4840440
Kenya,KEN,1992,,,,9114589,20393000,5540837
Kenya,KEN,1993,,,,9115364,20777100,6347577
Kenya,KEN,1994,,,,9379794,21428800,6556596
Kenya,KEN,1995,,,,9382646,21676700,7554020
Kenya,KEN,1996,,,,8826630,20883000,9328848
Kenya,KEN,1997,,,,8795909,21174700,8265418
Kenya,KEN,1998,,,,9579620,21985900,10036579
Kenya,KEN,1999,,,,9807253,23128500,10172258
Kenya,KEN,2000,0,0,0,9247610,22283200,10417947
Kenya,KEN,2001,,,,9457573,22897600,9369185
Kenya,KEN,2002,,,,9492696,23513000,7968391
Kenya,KEN,2003,,,,10230279,24373800,6754614
Kenya,KEN,2004,,,,10488013,25584200,7623693
Kenya,KEN,2005,0,0,0,10595118,25614800,8562445
Kenya,KEN,2006,,,,11072115,26382800,9574537
Kenya,KEN,2007,,,,10863516,26544600,9831227
Kenya,KEN,2008,0,0,0,11555002,27447100,10241931
Kenya,KEN,2009,,,,12011694,27436500,12350456
Kenya,KEN,2010,0,0,0,11363081,27477200,12174440
Kenya,KEN,2011,,,,11476711.81,27751972,13457890
Kenya,KEN,2012,,,,11590342.62,28026744,12515471
Kenya,KEN,2013,,,,,,13333212
Kenya,KEN,2014,,,,,,14286632
Kiribati,KIR,1961,,,,,,7334
Kiribati,KIR,1962,,,,,,11001
Kiribati,KIR,1963,,,,,,18335
Kiribati,KIR,1964,,,,,,18335
Kiribati,KIR,1965,,,,,,11001
Kiribati,KIR,1966,,,,,,11001
Kiribati,KIR,1967,,,,,,22002
Kiribati,KIR,1968,,,,,,33003
Kiribati,KIR,1969,,,,,,11001
Kiribati,KIR,1970,,,,2163.3381,4660.01,22002
Kiribati,KIR,1971,,,,2277.4521999999997,5050.5,29336
Kiribati,KIR,1972,,,,2321.3978,5377.33,25669
Kiribati,KIR,1973,,,,2403.0673,5677.6,36670
Kiribati,KIR,1974,,,,2468.3037,5905.7300000000005,33003
Kiribati,KIR,1975,,,,2519.6242,6253.82,33003
Kiribati,KIR,1976,,,,2568.9327999999996,6702.77,33003
Kiribati,KIR,1977,,,,2666.6851,6994.889999999999,22002
Kiribati,KIR,1978,,,,2649.9947,7255.03,22002
Kiribati,KIR,1979,,,,2704.1578999999997,7534.06,25669
Kiribati,KIR,1980,,,,2872.1128,7808.81,29336
Kiribati,KIR,1981,,,,3185.374,7929.280000000001,29336
Kiribati,KIR,1982,,,,3062.4838,8099.01,25669
Kiribati,KIR,1983,,,,3111.8109999999997,8339.359999999999,22002
Kiribati,KIR,1984,,,,3018.16,8603.84,22002
Kiribati,KIR,1985,,,,3093.6202000000003,8950.85,22002
Kiribati,KIR,1986,,,,3074.9954000000002,9256.27,18335
Kiribati,KIR,1987,,,,3138.0370000000003,9560.5,22002
Kiribati,KIR,1988,,,,3140.0209999999997,9842.41,22002
Kiribati,KIR,1989,,,,3116.244,10218.5,22002
Kiribati,KIR,1990,,,,2765.2279000000003,10150.7,22002
Kiribati,KIR,1991,,,,2855.4472,10355.7,22002
Kiribati,KIR,1992,,,,2868.8299,10568.099999999999,25669
Kiribati,KIR,1993,,,,2874.6548000000003,10766.400000000001,29336
Kiribati,KIR,1994,,,,2900.6545,10967.1,29336
Kiribati,KIR,1995,,,,2965.1934,11203.2,29336
Kiribati,KIR,1996,,,,3115.996,11532.7,33003
Kiribati,KIR,1997,,,,3131.837,11793.2,25669
Kiribati,KIR,1998,,,,3216.4359999999997,12077.5,29336
Kiribati,KIR,1999,,,,3278.839,12403.9,29336
Kiribati,KIR,2000,,,,3459.631,12783,29336
Kiribati,KIR,2001,,,,3588.25,13080.3,25669
Kiribati,KIR,2002,,,,3650.808,13464.2,40337
Kiribati,KIR,2003,,,,3697.866,13690.6,40337
Kiribati,KIR,2004,,,,3777.784,13965.6,44004
Kiribati,KIR,2005,,,,3773.351,14203.699999999999,62339
Kiribati,KIR,2006,,,,3793.904,14503.8,69673
Kiribati,KIR,2007,,,,3884.021,14873.300000000001,51338
Kiribati,KIR,2008,,,,3921.624,15224.5,55005
